1498,1278,1400,1498,1278,1500
1503,1275,1400,1503,1275,1500
1498,1273,1400,1498,1273,1500
1509,1270,1400,1509,1270,1500
1511,1267,1400,1511,1267,1500
1516,1259,1400,1516,1259,1500
1521,1256,1400,1521,1256,1500
1524,1254,1400,1524,1254,1500
1521,1251,1400,1521,1251,1500
1529,1248,1400,1529,1248,1500
1526,1246,1400,1526,1246,1500
1534,1243,1400,1534,1243,1500
1539,1240,1400,1539,1240,1500
1541,1238,1400,1541,1238,1500
1538,1235,1400,1538,1235,1500
1546,1232,1400,1546,1232,1500
1487,1295,1400,1487,1295,1500
1485,1293,1400,1485,1293,1500
1493,1289,1400,1493,1289,1500
1498,1286,1400,1498,1286,1500
1496,1284,1400,1496,1284,1500
1496,1281,1400,1496,1281,1500
1551,1230,1400,1551,1230,1500
1548,1227,1400,1548,1227,1500
1553,1225,1400,1553,1225,1500
1553,1222,1400,1553,1222,1500
1563,1220,1400,1563,1220,1500
1563,1217,1400,1563,1217,1500
1485,1301,1400,1485,1301,1500
1494,1297,1400,1494,1297,1500
1563,1214,1400,1563,1214,1500
1535,1212,1400,1535,1212,1500
1537,1210,1400,1537,1210,1500
1483,1309,1400,1483,1309,1500
1489,1306,1400,1489,1306,1500
1481,1309,1400,1481,1309,1500
1534,1256,1400,1534,1256,1500
1586,1205,1400,1586,1205,1500
1588,1202,1400,1588,1202,1500
1571,1199,1400,1571,1199,1500
1452,1334,1400,1452,1334,1500
1474,1312,1400,1474,1312,1500
1593,1197,1400,1593,1197,1500
1472,1323,1400,1472,1323,1500
1475,1320,1400,1475,1320,1500
1502,1294,1400,1502,1294,1500
1559,1235,1400,1559,1235,1500
1598,1195,1400,1598,1195,1500
1465,1332,1400,1465,1332,1500
1468,1329,1400,1468,1329,1500
1461,1333,1400,1461,1333,1500
1496,1303,1400,1496,1303,1500
1544,1253,1400,1544,1253,1500
1526,1261,1400,1526,1261,1500
1611,1188,1400,1611,1188,1500
1462,1338,1400,1462,1338,1500
1465,1335,1400,1465,1335,1500
1463,1335,1400,1463,1335,1500
1509,1291,1400,1509,1291,1500
1507,1291,1400,1507,1291,1500
1523,1280,1400,1523,1280,1500
1523,1278,1400,1523,1278,1500
1559,1243,1400,1559,1243,1500
1559,1240,1400,1559,1240,1500
1588,1197,1400,1588,1197,1500
1466,1338,1400,1466,1338,1500
1469,1335,1400,1469,1335,1500
1489,1317,1400,1489,1317,1500
1517,1283,1400,1517,1283,1500
1595,1192,1400,1595,1192,1500
1458,1347,1400,1458,1347,1500
1461,1344,1400,1461,1344,1500
1463,1341,1400,1463,1341,1500
1491,1317,1400,1491,1317,1500
1525,1280,1400,1525,1280,1500
1530,1275,1400,1530,1275,1500
1562,1246,1400,1562,1246,1500
1564,1238,1400,1564,1238,1500
1567,1235,1400,1567,1235,1500
